Position;Photo;Name;Details;Academy;Points;Kimono;Category;Gender;Belt;Division
14;https://api.ibjjfdb.com/Athletes/216838/RankingPhoto;Cauã Hernandes Leonor;https://ibjjf.com/athletes/caua-leonor;Double Five Tijuca;72;ranking-geral-gi;adult;male;black;rooster
17;https://api.ibjjfdb.com/Athletes/164618/RankingPhoto;Relter Lima Silva Filho;https://ibjjf.com/athletes/relter-filho;Gracie Barra Arizona;71;ranking-geral-gi;adult;male;black;rooster
18;https://api.ibjjfdb.com/Athletes/185642/RankingPhoto;Italo Augusto Bonfim Frota;https://ibjjf.com/athletes/italo-frota;Marcio Andre Jiu-Jitsu;67;ranking-geral-gi;adult;male;black;rooster
19;https://api.ibjjfdb.com/Athletes/215896/RankingPhoto;Thiago Katsuo Oliveira Ueno;https://ibjjf.com/athletes/thiago-ueno;Alma Fight Gym Homies Gifu;66;ranking-geral-gi;adult;male;black;rooster
20;https://api.ibjjfdb.com/Athletes/91086/RankingPhoto;Lucas dos Santos Pinheiro;https://ibjjf.com/athletes/lucas-pinheiro;Ronaldo Jacaré BJJ Academy;63;ranking-geral-gi;adult;male;black;rooster
21;https://api.ibjjfdb.com/Athletes/115944/RankingPhoto;Frank Cespedes;https://ibjjf.com/athletes/frank-cespedes;Alliance Los Angeles;56;ranking-geral-gi;adult;male;black;rooster
22;https://api.ibjjfdb.com/Athletes/313662/RankingPhoto;Jerzy Izdebski;https://ibjjf.com/athletes/jerzy-izdebski;Rio Grappling Club Europe;54;ranking-geral-gi;adult;male;black;rooster
23;https://api.ibjjfdb.com/Athletes/63911/RankingPhoto;Rodnei Barbosa Gabriel Jr.;https://ibjjf.com/athletes/rodnei-junior;CheckMat USA;53;ranking-geral-gi;adult;male;black;rooster
24;https://api.ibjjfdb.com/Athletes/142590/RankingPhoto;Rhuan Victor Oliveira de Souza;https://ibjjf.com/athletes/rhuan-souza;Escola De Lutas Michel Kmiec;51;ranking-geral-gi;adult;male;black;rooster
24;https://api.ibjjfdb.com/Athletes/361515/RankingPhoto;Jorge Arthur de Souza;https://ibjjf.com/athletes/jorge-souza-31c65899a44f;Rilion Gracie Ingleses;51;ranking-geral-gi;adult;male;black;rooster
26;https://api.ibjjfdb.com/Athletes/48363/RankingPhoto;Cory Michael Walker;https://ibjjf.com/athletes/cory-walker;Team Lloyd Irvin;45;ranking-geral-gi;adult;male;black;rooster
27;https://api.ibjjfdb.com/Athletes/474506/RankingPhoto;Zayed Abdulnaser A A Alkatheeri;https://ibjjf.com/athletes/zayed-alkatheeri;Alliance International;42;ranking-geral-gi;adult;male;black;rooster
28;https://api.ibjjfdb.com/Athletes/41766/RankingPhoto;Ethan Shane Johnston;https://ibjjf.com/athletes/ethan-johnston;Cleber Jiu Jitsu;38;ranking-geral-gi;adult;male;black;rooster
29;https://api.ibjjfdb.com/Athletes/148991/RankingPhoto;Tomoro Ide;https://ibjjf.com/athletes/tomoro-ide-926edc790e5c;X-Treme Jiu-Jitsu Academy;37;ranking-geral-gi;adult;male;black;rooster
30;https://api.ibjjfdb.com/Athletes/43586/RankingPhoto;Eduardo Barboza da Silva;https://ibjjf.com/athletes/eduardo-silva-7c8b1eb758ed;GF Team California;36;ranking-geral-gi;adult;male;black;rooster
31;https://api.ibjjfdb.com/Athletes/334282/RankingPhoto;Andre Vitor Gonçalves Militao;https://ibjjf.com/athletes/andre-militao;CheckMat;33;ranking-geral-gi;adult;male;black;rooster
32;https://api.ibjjfdb.com/Athletes/245440/RankingPhoto;Alexandre Matheus Nobrega de Souza;https://ibjjf.com/athletes/alexandre-souza-f871dc714088;Guigo JJ;32;ranking-geral-gi;adult;male;black;rooster
33;https://api.ibjjfdb.com/Athletes/339933/RankingPhoto;Osamah Ali Ali Almarwai;https://ibjjf.com/athletes/osamah-almarwai;Atos Jiu Jitsu USA;31;ranking-geral-gi;adult;male;black;rooster
33;https://api.ibjjfdb.com/Athletes/30906/RankingPhoto;Oziel Santos de Carvalho;https://ibjjf.com/athletes/oziel-carvalho;Fratres Brazilian Jiu-Jitsu;31;ranking-geral-gi;adult;male;black;rooster
35;https://api.ibjjfdb.com/Athletes/84311/RankingPhoto;Welerson Gonçalves da Silva;https://ibjjf.com/athletes/welerson-silva;Morro dos Campeões;30;ranking-geral-gi;adult;male;black;rooster
36;https://api.ibjjfdb.com/Athletes/82464/RankingPhoto;Tadiyah William Danforth;https://ibjjf.com/athletes/tadiyah-danforth;Foundry BJJ;29;ranking-geral-gi;adult;male;black;rooster
37;https://api.ibjjfdb.com/Athletes/62926/RankingPhoto;Luciano Alex da Cunha Vieira;https://ibjjf.com/athletes/luciano-vieira;Infight Jiu-Jitsu;27;ranking-geral-gi;adult;male;black;rooster
37;https://api.ibjjfdb.com/Athletes/118302/RankingPhoto;Aniel  Bonifacio Candido;https://ibjjf.com/athletes/aniel-candido;GF Team Varginha;27;ranking-geral-gi;adult;male;black;rooster
37;https://api.ibjjfdb.com/Athletes/446000/RankingPhoto;Anderson Diego da Silva Costa;https://ibjjf.com/athletes/anderson-costa-69204dbc5bc9;South Zone Team - SZT;27;ranking-geral-gi;adult;male;black;rooster
37;https://api.ibjjfdb.com/Athletes/349710/RankingPhoto;Abraham Seyed Majedi;https://ibjjf.com/athletes/abraham-majedi;Alliance Laguna Hills;27;ranking-geral-gi;adult;male;black;rooster
41;https://api.ibjjfdb.com/Athletes/275040/RankingPhoto;Igor Moreira dos Santos;https://ibjjf.com/athletes/igor-santos-daa50a2d8f1f;Team Kimura KMR;24;ranking-geral-gi;adult;male;black;rooster
42;https://api.ibjjfdb.com/Athletes/250184/RankingPhoto;Andrew Soares dos Santos;https://ibjjf.com/athletes/andrew-santos-32290977a3ca;Qatar BJJ / Vision Brasil;22;ranking-geral-gi;adult;male;black;rooster
43;https://api.ibjjfdb.com/Athletes/244563/RankingPhoto;Jhonatas da Conceição Moraes Ramos;https://ibjjf.com/athletes/jhonatas-ramos;Club Ne-Waza BJJ;21;ranking-geral-gi;adult;male;black;rooster
44;https://api.ibjjfdb.com/Athletes/148025/RankingPhoto;Johnif de Oliveira Rocha;https://ibjjf.com/athletes/johnif-rocha;PSLPB Cicero Costha;18;ranking-geral-gi;adult;male;black;rooster
44;https://api.ibjjfdb.com/Athletes/223147/RankingPhoto;Thiago Zomer Siqueira;https://ibjjf.com/athletes/thiago-siqueira-68b9febb6509;Laranjeiras Jiu-Jitsu Club;18;ranking-geral-gi;adult;male;black;rooster
44;https://api.ibjjfdb.com/Athletes/134488/RankingPhoto;João Vitor Caciano da Silva;https://ibjjf.com/athletes/joao-silva-25724010f8b9;Globe Fight Brazilian Jiu-Jitsu;18;ranking-geral-gi;adult;male;black;rooster
44;https://api.ibjjfdb.com/Athletes/455526/RankingPhoto;Robert William Nicolau dos Santos;https://ibjjf.com/athletes/robert-ffbc8234ed9d;Double Five Barão;18;ranking-geral-gi;adult;male;black;rooster
48;https://api.ibjjfdb.com/Athletes/144955/RankingPhoto;Eric Michael Naples;https://ibjjf.com/athletes/eric-naples;Team Robson Moura;15;ranking-geral-gi;adult;male;black;rooster
49;https://api.ibjjfdb.com/Athletes/323010/RankingPhoto;Bruno Cordeiro Sena;https://ibjjf.com/athletes/bruno-sena-db54f135bf8d;The Match Champ;13;ranking-geral-gi;adult;male;black;rooster
49;https://api.ibjjfdb.com/Athletes/43965/RankingPhoto;Dustin M. Ordinario;https://ibjjf.com/athletes/dustin-ordinario;Pablo Silva BJJ;13;ranking-geral-gi;adult;male;black;rooster
51;https://api.ibjjfdb.com/Athletes/43973/RankingPhoto;Justin Masaichi Ordinario;https://ibjjf.com/athletes/justin-ordinario;Pablo Silva BJJ;12;ranking-geral-gi;adult;male;black;rooster
51;https://api.ibjjfdb.com/Athletes/66288/RankingPhoto;Francisco Jonas B. Andrade;https://ibjjf.com/athletes/francisco-andrade;Humbling Jiu-Jitsu Club;12;ranking-geral-gi;adult;male;black;rooster
51;https://api.ibjjfdb.com/Athletes/64939/RankingPhoto;Iago Oliveira Fernandes;https://ibjjf.com/athletes/iago-fernandes;RL Team;12;ranking-geral-gi;adult;male;black;rooster
51;https://api.ibjjfdb.com/Athletes/302749/RankingPhoto;Kota Shibata;https://ibjjf.com/athletes/tsutsumi-kouta;Impacto BJJ;12;ranking-geral-gi;adult;male;black;rooster
55;https://api.ibjjfdb.com/Athletes/229617/RankingPhoto;Antonio J. B. Villiatora;https://ibjjf.com/athletes/antonio-villiatora;VBros BJJ;11;ranking-geral-gi;adult;male;black;rooster
55;https://api.ibjjfdb.com/Athletes/391548/RankingPhoto;Nicolas da Silva Pires;https://ibjjf.com/athletes/nicolas-pires;SAS Team;11;ranking-geral-gi;adult;male;black;rooster
57;https://api.ibjjfdb.com/Athletes/80734/RankingPhoto;Skyler B Yee;https://ibjjf.com/athletes/skyler-yee;GF Team Massachusetts;10;ranking-geral-gi;adult;male;black;rooster
58;https://api.ibjjfdb.com/Athletes/33776/RankingPhoto;Christopher Duyquan Tran;https://ibjjf.com/athletes/christopher-tran;Crazy 88;9;ranking-geral-gi;adult;male;black;rooster
58;https://api.ibjjfdb.com/Athletes/494578/RankingPhoto;Manoel Ferreira Zuza;https://ibjjf.com/athletes/manoel-zuza;Marx Engel Team;9;ranking-geral-gi;adult;male;black;rooster
58;https://api.ibjjfdb.com/Athletes/256031/RankingPhoto;Jailson Alves Santos;https://ibjjf.com/athletes/jailson-santos-e5fd30d39e02;The Brothers BJJ Brasil;9;ranking-geral-gi;adult;male;black;rooster
58;https://api.ibjjfdb.com/Athletes/246755/RankingPhoto;Jong Soo Sa;https://ibjjf.com/athletes/jong-sa;Jiu-Jitsu Rim;9;ranking-geral-gi;adult;male;black;rooster
62;https://api.ibjjfdb.com/Athletes/165241/RankingPhoto;Roiter Lima Silva Junior;https://ibjjf.com/athletes/roiter-junior;Gracie Barra Arizona;7;ranking-geral-gi;adult;male;black;rooster
63;https://api.ibjjfdb.com/Athletes/175120/RankingPhoto;Gyeongseop Lee;https://ibjjf.com/athletes/gyeongseop-lee;Tri-Force U.C.T.;6;ranking-geral-gi;adult;male;black;rooster
63;https://api.ibjjfdb.com/Athletes/196020/RankingPhoto;Juhyuck Yim;https://ibjjf.com/athletes/juhyuck-yim;John Frankl Jiu-Jitsu;6;ranking-geral-gi;adult;male;black;rooster
63;https://api.ibjjfdb.com/Athletes/74110/RankingPhoto;Felipe Burille;https://ibjjf.com/athletes/felipe-burille;Alexandre Araujo AJJ Team;6;ranking-geral-gi;adult;male;black;rooster
63;https://api.ibjjfdb.com/Athletes/27051/RankingPhoto;Andrea Verdemare;https://ibjjf.com/athletes/andrea-verdemare;Flow;6;ranking-geral-gi;adult;male;black;rooster
63;https://api.ibjjfdb.com/Athletes/126386/RankingPhoto;Henrique A. Souza de  Almeida;https://ibjjf.com/athletes/henrique-almeida-f2a650ff2ae7;Instituto DaiFukAn;6;ranking-geral-gi;adult;male;black;rooster
68;https://api.ibjjfdb.com/Athletes/197005/RankingPhoto;Matheus Henrique A. A. Vilaça;https://ibjjf.com/athletes/matheus-vilaca;Ares BJJ Academy;5;ranking-geral-gi;adult;male;black;rooster
69;https://api.ibjjfdb.com/Athletes/376876/RankingPhoto;Nilson Lima Carvalho Filho;https://ibjjf.com/athletes/nilson-filho;De La Riva JJ;3;ranking-geral-gi;adult;male;black;rooster
69;https://api.ibjjfdb.com/Athletes/86714/RankingPhoto;Yu Lin;https://ibjjf.com/athletes/yu-lin;Atos JJ International;3;ranking-geral-gi;adult;male;black;rooster
69;https://api.ibjjfdb.com/Athletes/71684/RankingPhoto;David B. Zennario;https://ibjjf.com/athletes/david-zennario;Bjj Conquest;3;ranking-geral-gi;adult;male;black;rooster
69;https://api.ibjjfdb.com/Athletes/382558/RankingPhoto;Roger Rodrigues da Silva;https://ibjjf.com/athletes/roger-silva-1cf6d156e877;Humbling Jiu-Jitsu Club;3;ranking-geral-gi;adult;male;black;rooster
69;https://api.ibjjfdb.com/Athletes/33777/RankingPhoto;Sebastian Andres Alvarado San Andres;https://ibjjf.com/athletes/sebastian-alvarado;AOJ;3;ranking-geral-gi;adult;male;black;rooster
69;https://api.ibjjfdb.com/Athletes/136044/RankingPhoto;Thiago Assumpçao Taborda;https://ibjjf.com/athletes/thiago-taborda;Carlos Dorado Jiu-Jitsu School;3;ranking-geral-gi;adult;male;black;rooster
69;https://api.ibjjfdb.com/Athletes/435431/RankingPhoto;Roberto Carlos T de Oliveira Matsuoka;https://ibjjf.com/athletes/roberto-matsuoka;Mato Grosso Jiu-Jitsu;3;ranking-geral-gi;adult;male;black;rooster
69;https://api.ibjjfdb.com/Athletes/254488/RankingPhoto;Thiago de Araújo Rodrigues;https://ibjjf.com/athletes/thiago-rodrigues-4b1a681d8328;Team Kimura KMR;3;ranking-geral-gi;adult;male;black;rooster
69;https://api.ibjjfdb.com/Athletes/517819/RankingPhoto;Abner Gabriel Ramos Teixeira;https://ibjjf.com/athletes/abner-teixeira;Carioca Brazilian Jiu-Jitsu;3;ranking-geral-gi;adult;male;black;rooster
69;https://api.ibjjfdb.com/Athletes/45529/RankingPhoto;João Victor da Cruz Silva;https://ibjjf.com/athletes/joao-silva-8f55fffd51e8;Projeto Rocha;3;ranking-geral-gi;adult;male;black;rooster
69;https://api.ibjjfdb.com/Athletes/334970/RankingPhoto;Anderson Luiz Silva Ferreira;https://ibjjf.com/athletes/anderson-ferreira-e1d35f8cd688;Alliance Centro SP;3;ranking-geral-gi;adult;male;black;rooster
80;https://api.ibjjfdb.com/Athletes/143720/RankingPhoto;Gregory Jay Hernandez;https://ibjjf.com/athletes/gregory-hernandez;Gabe Hernandez Jiu-Jitsu - LBK;2;ranking-geral-gi;adult;male;black;rooster
80;https://api.ibjjfdb.com/Athletes/150210/RankingPhoto;Faris Khalid Kashmeeri;https://ibjjf.com/athletes/faris-kashmeeri;Cicero Costha Internacional;2;ranking-geral-gi;adult;male;black;rooster
80;https://api.ibjjfdb.com/Athletes/411094/RankingPhoto;Jardson Jeronimo De Lima;https://ibjjf.com/athletes/jardson-lima;Amazon School - Escola de Jiu Jitsu;2;ranking-geral-gi;adult;male;black;rooster
80;https://api.ibjjfdb.com/Athletes/229037/RankingPhoto;Wellington Silva dos Santos;https://ibjjf.com/athletes/wellington-santos-ab76882d59c9;CheckMat;2;ranking-geral-gi;adult;male;black;rooster
84;https://api.ibjjfdb.com/Athletes/519121/RankingPhoto;Wellesom Max de Sousa Cardoso;https://ibjjf.com/athletes/wellesom-cardoso;Gracie Barra Fortaleza;1;ranking-geral-gi;adult;male;black;rooster
84;https://api.ibjjfdb.com/Athletes/269811/RankingPhoto;Rodrigo dos Santos Freitas;https://ibjjf.com/athletes/rodrigo-freitas-f6ffb77937f9;67 Pantanal Association;1;ranking-geral-gi;adult;male;black;rooster
84;https://api.ibjjfdb.com/Athletes/515304/RankingPhoto;Cody Matthew Legendre;https://ibjjf.com/athletes/cody-legendre;Raposo BJJ;1;ranking-geral-gi;adult;male;black;rooster
84;https://api.ibjjfdb.com/Athletes/478051/RankingPhoto;Dennis Jacome de Oliveira;https://ibjjf.com/athletes/dennis-oliveira;JFC Almeida JJ;1;ranking-geral-gi;adult;male;black;rooster
1;https://api.ibjjfdb.com/Athletes/82191/RankingPhoto;Diego Oliveira Batista;https://ibjjf.com/athletes/diego-batista-65fb12dc74cd;AOJ;486;ranking-geral-gi;adult;male;black;lightfeather
2;https://api.ibjjfdb.com/Athletes/104811/RankingPhoto;Keven Carrasco;https://ibjjf.com/athletes/keven-carrasco;Ares BJJ Academy;197;ranking-geral-gi;adult;male;black;lightfeather
3;https://api.ibjjfdb.com/Athletes/66288/RankingPhoto;Francisco Jonas B. Andrade;https://ibjjf.com/athletes/francisco-andrade;Humbling Jiu-Jitsu Club;171;ranking-geral-gi;adult;male;black;lightfeather
4;https://api.ibjjfdb.com/Athletes/375301/RankingPhoto;Diogo Pinheiro dos Reis;https://ibjjf.com/athletes/diogo-pinheiro;Melqui Galvão Jiu-Jitsu;166;ranking-geral-gi;adult;male;black;lightfeather
5;https://api.ibjjfdb.com/Athletes/82464/RankingPhoto;Tadiyah William Danforth;https://ibjjf.com/athletes/tadiyah-danforth;Foundry BJJ;149;ranking-geral-gi;adult;male;black;lightfeather
6;https://api.ibjjfdb.com/Athletes/181333/RankingPhoto;Matheus D. C. M. Fonseca;https://ibjjf.com/athletes/matheus-fonseca;Team Robson Moura;120;ranking-geral-gi;adult;male;black;lightfeather
7;https://api.ibjjfdb.com/Athletes/269513/RankingPhoto;Carlos José Luiz Junior;https://ibjjf.com/athletes/carlos-junior-2d1075677b74;Alliance SP;117;ranking-geral-gi;adult;male;black;lightfeather
8;https://api.ibjjfdb.com/Athletes/126278/RankingPhoto;Nathannael Jackson Fonseca  Fernandes;https://ibjjf.com/athletes/nathannael-fernandes;Melqui Galvão Jiu-Jitsu;116;ranking-geral-gi;adult;male;black;lightfeather
9;https://api.ibjjfdb.com/Athletes/323010/RankingPhoto;Bruno Cordeiro Sena;https://ibjjf.com/athletes/bruno-sena-db54f135bf8d;The Match Champ;106;ranking-geral-gi;adult;male;black;lightfeather
10;https://api.ibjjfdb.com/Athletes/139117/RankingPhoto;Shoya Ishiguro;https://ibjjf.com/athletes/shoya-ishiguro;Carpe Diem;99;ranking-geral-gi;adult;male;black;lightfeather
11;https://api.ibjjfdb.com/Athletes/83713/RankingPhoto;Dylan Matthew Martin;https://ibjjf.com/athletes/dylan-martin;BJJ Revolution Team;96;ranking-geral-gi;adult;male;black;lightfeather
11;https://api.ibjjfdb.com/Athletes/97344/RankingPhoto;Luiz Antonio Ramos Arruda;https://ibjjf.com/athletes/luiz-arruda;Alliance JJ;96;ranking-geral-gi;adult;male;black;lightfeather
13;https://api.ibjjfdb.com/Athletes/219481/RankingPhoto;Andrew Amorim Cardoso;https://ibjjf.com/athletes/andrew-cardoso;Six Blades Jiu-Jitsu - Brasil;87;ranking-geral-gi;adult;male;black;lightfeather
14;https://api.ibjjfdb.com/Athletes/165241/RankingPhoto;Roiter Lima Silva Junior;https://ibjjf.com/athletes/roiter-junior;Gracie Barra Arizona;85;ranking-geral-gi;adult;male;black;lightfeather
15;https://api.ibjjfdb.com/Athletes/242418/RankingPhoto;Eduardo Manuel Farfan Arias;https://ibjjf.com/athletes/eduardo-arias-1a34d3e62b21;Movement Art;81;ranking-geral-gi;adult;male;black;lightfeather
15;https://api.ibjjfdb.com/Athletes/450792/RankingPhoto;Khaled Mohammad A. Y. Alshehhi;https://ibjjf.com/athletes/khaled-alshehhi;UAE Jiu-Jitsu Team;81;ranking-geral-gi;adult;male;black;lightfeather
15;https://api.ibjjfdb.com/Athletes/504701/RankingPhoto;Sueru Okaizumi;https://ibjjf.com/athletes/sueru-okaizumi;Arta;81;ranking-geral-gi;adult;male;black;lightfeather
18;https://api.ibjjfdb.com/Athletes/270021/RankingPhoto;Rerisson dos Santos Gabriel;https://ibjjf.com/athletes/rerisson-gabriel;Alliance JJ;80;ranking-geral-gi;adult;male;black;lightfeather
19;https://api.ibjjfdb.com/Athletes/370895/RankingPhoto;Mateus Felipe de Souza Porto;https://ibjjf.com/athletes/mateus-porto-31d2c4ece8bd;Gracie Barra Gama Brasilia DF;73;ranking-geral-gi;adult;male;black;lightfeather
19;https://api.ibjjfdb.com/Athletes/243008/RankingPhoto;Seokhyeon Seo;https://ibjjf.com/athletes/seokhyeon-seo;Wire Jiu-Jitsu;73;ranking-geral-gi;adult;male;black;lightfeather
21;https://api.ibjjfdb.com/Athletes/382558/RankingPhoto;Roger Rodrigues da Silva;https://ibjjf.com/athletes/roger-silva-1cf6d156e877;Humbling Jiu-Jitsu Club;72;ranking-geral-gi;adult;male;black;lightfeather
22;https://api.ibjjfdb.com/Athletes/131970/RankingPhoto;Leonardo Mário Pereira Júnior;https://ibjjf.com/athletes/leonardo-junior;Alliance SP;69;ranking-geral-gi;adult;male;black;lightfeather
23;https://api.ibjjfdb.com/Athletes/84311/RankingPhoto;Welerson Gonçalves da Silva;https://ibjjf.com/athletes/welerson-silva;Morro dos Campeões;66;ranking-geral-gi;adult;male;black;lightfeather
24;https://api.ibjjfdb.com/Athletes/128358/RankingPhoto;Thalison Vitorino Soares;https://ibjjf.com/athletes/thalison-soares-4b85cd0d60b5;AOJ - Europe;63;ranking-geral-gi;adult;male;black;lightfeather
25;https://api.ibjjfdb.com/Athletes/88234/RankingPhoto;Carlos Alberto Oliveira da Silva;https://ibjjf.com/athletes/carlos-silva-08a7e43a3669;GF Team California;61;ranking-geral-gi;adult;male;black;lightfeather
25;https://api.ibjjfdb.com/Athletes/291756/RankingPhoto;Everton Celio de Souza Teixeira;https://ibjjf.com/athletes/everton-teixeira;Atos Atlanta BJJ;61;ranking-geral-gi;adult;male;black;lightfeather
27;https://api.ibjjfdb.com/Athletes/165170/RankingPhoto;Bernardo Mastrangelo C. de Albuquerque;https://ibjjf.com/athletes/bernardo-albuquerque;Morro dos Campeões;60;ranking-geral-gi;adult;male;black;lightfeather
28;https://api.ibjjfdb.com/Athletes/45537/RankingPhoto;Jordan Vaisman;https://ibjjf.com/athletes/jordan-silva;AOJ;59;ranking-geral-gi;adult;male;black;lightfeather
29;https://api.ibjjfdb.com/Athletes/29697/RankingPhoto;Meyram Maquiné Alves;https://ibjjf.com/athletes/meyram-alves;Soldiers Jiu-Jitsu;57;ranking-geral-gi;adult;male;black;lightfeather
29;https://api.ibjjfdb.com/Athletes/175015/RankingPhoto;Carlos Daniel da Silva;https://ibjjf.com/athletes/carlos-silva-506cd597bdba;Molinaro Jiu-Jitsu;57;ranking-geral-gi;adult;male;black;lightfeather
29;https://api.ibjjfdb.com/Athletes/304025/RankingPhoto;Lucas Barbosa Magalhaes;https://ibjjf.com/athletes/lucas-magalhaes-6cc91c81c100;Delta Gold Team Internacional DGT;57;ranking-geral-gi;adult;male;black;lightfeather
29;https://api.ibjjfdb.com/Athletes/216863/RankingPhoto;Shay Ananda Montague;https://ibjjf.com/athletes/shay-montague;ECJJA;57;ranking-geral-gi;adult;male;black;lightfeather
29;https://api.ibjjfdb.com/Athletes/351187/RankingPhoto;Paris Peirce;https://ibjjf.com/athletes/paris-peirce;Unity Jiu-Jitsu International;57;ranking-geral-gi;adult;male;black;lightfeather
34;https://api.ibjjfdb.com/Athletes/111041/RankingPhoto;Arjuna Wade Brown;https://ibjjf.com/athletes/arjuna-brown;American Jiu-Jitsu Syndicate;54;ranking-geral-gi;adult;male;black;lightfeather
35;https://api.ibjjfdb.com/Athletes/205168/RankingPhoto;Anderson Delfino Duarte Júnior;https://ibjjf.com/athletes/anderson-junior-f580fba1f53f;Soldiers Jiu-Jitsu;48;ranking-geral-gi;adult;male;black;lightfeather
36;https://api.ibjjfdb.com/Athletes/197005/RankingPhoto;Matheus Henrique A. A. Vilaça;https://ibjjf.com/athletes/matheus-vilaca;Ares BJJ Academy;46;ranking-geral-gi;adult;male;black;lightfeather
37;https://api.ibjjfdb.com/Athletes/211725/RankingPhoto;Lucas Feitosa Pereira Bosshard;https://ibjjf.com/athletes/lucas-pereira-ad48ac502eb3;Alcateia Jiu-Jitsu;45;ranking-geral-gi;adult;male;black;lightfeather
37;https://api.ibjjfdb.com/Athletes/224157/RankingPhoto;Guilherme de Paiva Cordeiro;https://ibjjf.com/athletes/guilherme-cordeiro-53f128e1c117;Ubuntu Jiu-Jitsu Brasil;45;ranking-geral-gi;adult;male;black;lightfeather
39;https://api.ibjjfdb.com/Athletes/32040/RankingPhoto;Rene Eduardo Lopez;https://ibjjf.com/athletes/rene-lopez;Jiu-Jitsu Methods;44;ranking-geral-gi;adult;male;black;lightfeather
39;https://api.ibjjfdb.com/Athletes/197599/RankingPhoto;Warly Antonio Jeronimo da Silva;https://ibjjf.com/athletes/warly-silva;GF Team;44;ranking-geral-gi;adult;male;black;lightfeather
41;https://api.ibjjfdb.com/Athletes/45153/RankingPhoto;Cleber de Sousa Fernandes;https://ibjjf.com/athletes/cleber-fernandes;JFC Almeida JJ;43;ranking-geral-gi;adult;male;black;lightfeather
42;https://api.ibjjfdb.com/Athletes/162815/RankingPhoto;Welison Nascimento Fernandes;https://ibjjf.com/athletes/welison-fernandes;Six Blades Jiu-Jitsu - Brasil;42;ranking-geral-gi;adult;male;black;lightfeather
42;https://api.ibjjfdb.com/Athletes/115944/RankingPhoto;Frank Cespedes;https://ibjjf.com/athletes/frank-cespedes;Alliance Los Angeles;42;ranking-geral-gi;adult;male;black;lightfeather
